"id","label","label_en","country_id","country_name","population","postal_code","coords"
"Q31277","Κόμαρα Έβρου","Komara","Q41","Greece","628","['680\xa006']","(41.6, 26.23333333)"
"Q43497","Δήμος Διονύσου","Dionisos Municipality","Q41","Greece","32582","['145\xa076']","(38.116667, 23.883333)"
"Q82208","Καστρίτσα Ιωαννίνων","Kastritsa","Q41","Greece","557","['45500']","(39.63166667, 20.92166667)"
"Q133123","Πάτρα","Patras","Q41","Greece","173600","['26x xx']","(38.25, 21.733333333333)"
"Q160544","Ηράκλειο","Heraklion","Q41","Greece","156842","['71000–71999']","(35.34027777777778, 25.134444444444444)"
"Q162933","Αμαλιάδα","Amaliada","Q41","Greece","16763","['272 00, 270 69, 273 00']","(37.797, 21.3515)"
"Q187039","Σαπιέντζα","Sapientza","Q41","Greece","2","['240\xa006']","(36.77175, 21.705027777778)"
"Q188731","Ρόδος","Rhodes","Q41","Greece","56440","['85100']","(36.433333333333, 28.216666666667)"
"Q189059","Μυτιλήνη","Mytilene","Q41","Greece","27871","['81100']","(39.1047, 26.5536)"
"Q192980","Λαμία","Lamia","Q41","Greece","47529","['35100']","(38.897222222222, 22.431111111111)"
"Q200133","Χαλκίδα","Chalkida","Q41","Greece","64490","['34100']","(38.4625, 23.595)"
"Q204905","Ελευσίνα","Elefsina","Q41","Greece","24910","['19200']","(38.04138889, 23.54527778)"
"Q207840","Περιφερειακή Ενότητα Ημαθίας","Imathia Regional Unit","Q41","Greece","136602","['59x xx']","(40.583333333333, 22.25)"
"Q210296","Ξάνθη","Xanthi","Q41","Greece","58760","['671\xa000']","(41.133333333333, 24.883333333333)"
"Q210698","Λιβαδειά","Livadeia","Q41","Greece","22113","['32131']","(38.43611111111111, 22.875)"
"Q212841","Δράμα","Drama","Q41","Greece","44257","['66100']","(41.151388888889, 24.139166666667)"
"Q213898","Πρέβεζα","Preveza","Q41","Greece","19042","['481\xa000']","(38.9575, 20.751666666666665)"
"Q233576","Επίδαυρος","Epidaurus","Q41","Greece","","['21054']","(37.59777777777778, 23.074444444444445)"
"Q382050","Λουτροχώρι Πέλλας","Loutrochori","Q41","Greece","458","['585\xa000']","(40.72306, 22.10917)"
"Q393548","Αγιά Πρέβεζας","Agia","Q41","Greece","758","['480\xa060']","(39.31358333, 20.35870556)"
"Q456781","Αμπελώνας Λάρισας","Ampelonas","Q41","Greece","6083","['404\xa000']","(39.74527778, 22.36194167)"
"Q478649","Δίστομο Βοιωτίας","Distomo","Q41","Greece","1589","['320\xa005']","(38.42931944, 22.66728333)"
"Q488215","Δήμος Ανατολικής Μάνης","Municipality of East Mani","Q41","Greece","15557","['23200', '23062']","(36.68888888888889, 22.4575)"
"Q527809","Κάλυμνος","Kalymnos","Q41","Greece","","['852\xa000']","(36.995916666667, 26.994966666667)"
"Q544242","Σούδα Χανίων","Souda","Q41","Greece","6358","['73200']","(35.48333333, 24.06666667)"
"Q578879","Περιφερειακή Ενότητα Λάρισας","Larissa Regional Unit","Q41","Greece","268451","['40x xx - 41x xx']","(39.66666667, 22.5)"
"Q581494","Τροιζήνα","Troezen","Q41","Greece","673","['180\xa020']","(37.497229, 23.363113)"
"Q592438","Καλάβρυτα","Kalavryta","Q41","Greece","1674","['250\xa001']","(38.030833, 22.108611)"
"Q649484","Περιφερειακή Ενότητα Πέλλας","Pella Regional Unit","Q41","Greece","138568","['58x xx']","(40.91666667, 22.08333333)"
"Q681989","Δήμος Αρμένων","Armenoi municipality","Q41","Greece","","['730\xa008']","(35.429166666667, 24.158333333333)"
"Q738700","Λίνδος","Lindos","Q41","Greece","1087","['851\xa007']","(36.0913, 28.0855)"
"Q746362","Αστακός Αιτωλοακαρνανίας","Astakos","Q41","Greece","2696","['30006']","(38.5357, 21.0828)"
"Q748776","Φερές","Feres, Magnesia","Q41","Greece","","['37 500']","(39.36666667, 22.73333333)"
"Q769709","Κηφισιά","Kifisia","Q41","Greece","48700","['145 xx']","(38.08333333, 23.81666667)"
"Q773966","Δήμος Ορμύλιας","Ormylia","Q41","Greece","","['631\xa000']","(40.3, 23.55)"
"Q798872","Αιανή Κοζάνης","Aiani","Q41","Greece","2006","['500\xa004']","(40.164722222222, 21.820833333333)"
"Q825478","Μαραθόκαμπος Σάμου","Marathokampos","Q41","Greece","1069","['832\xa000']","(37.72694444, 26.68833333)"
"Q844543","Περιφερειακή Ενότητα Χαλκιδικής","Chalkidiki Prefecture","Q41","Greece","105908","['630–639']","(40.33, 23.5)"
"Q845125","Δημοτική Ενότητα Μελίτης","Meliti Municipal Unit","Q41","Greece","6254","['530\xa071', '53071']","(40.8452, 21.6249)"
"Q849064","Δημοτική ενότητα Ομαλών","Omala municipal unit","Q41","Greece","968","['281\xa000']","(38.16666667, 20.6)"
"Q955459","Γαλάτσι","Galatsi","Q41","Greece","57909","['111\xa000–111\xa099']","(38.01666667, 23.75)"
"Q965037","Αλμυρός Μαγνησίας","Almyros","Q41","Greece","7955","['37100']","(39.180277777777775, 22.760555555555555)"
"Q985454","Καλά Νερά Μαγνησίας","Kala Nera","Q41","Greece","594","['37010']","(39.30599, 23.1209)"
"Q992348","Μαρούσι","Marousi","Q41","Greece","71830","['151\xa000–151\xa099']","(38.05, 23.8)"
"Q1001844","Πεταλίδι Μεσσηνίας","Petalidi","Q41","Greece","1065","['240\xa005']","(36.9585, 21.9283)"
"Q1018106","Χερσόνησος Ηρακλείου","Chersonesos","Q41","Greece","1115","['70014']","(35.3078, 25.3718)"
"Q1018264","Νικήτη Χαλκιδικής","Nikiti","Q41","Greece","2711","['630\xa088']","(40.22277778, 23.66861111)"
"Q1021592","Νέα Φιλαδέλφεια Αττικής","Nea Filadelfeia","Q41","Greece","25198","['143 xx']","(38.035, 23.738055555556)"
"Q1021614","Ηράκλειο Αττικής","Irakleio","Q41","Greece","50494","['144 xx']","(38.04611111, 23.75166667)"
"Q1051038","Καρυές Λακωνίας","Karyes","Q41","Greece","352","['230\xa067']","(37.292337, 22.50019)"
"Q1062964","Πόρος Κεφαλλονιάς","Poros","Q41","Greece","930","['18020']","(38.15, 20.766666666667)"
"Q1070691","Δήμος Ανατολικού Σελίνου","East Selino","Q41","Greece","","['730\xa009']","(35.26666667, 23.85)"
"Q1076595","Χορτιάτης","Chortiatis","Q41","Greece","4873","['570 xx']","(40.608333333333, 23.102777777778)"
"Q1134837","Μαλακάσα Αττικής","Malakasa","Q41","Greece","514","['190\xa011']","(38.23333333, 23.8)"
"Q1134852","Μαρκόπουλο","Markopoulo Mesogaias","Q41","Greece","9513","['19003']","(37.88333333, 23.93333333)"
"Q1136193","Γόρτυνα","Gortyn","Q41","Greece","","['70012']","(35.060067, 24.949458)"
"Q1142665","Δήμος Μουσούρων","Mousouroi","Q41","Greece","","['730\xa005']","(35.45, 23.91666667)"
"Q1142685","Δήμος Φαλάνθου","Municipality of Falanthos","Q41","Greece","","['22150']","(37.56666667, 22.25)"
"Q1144117","Δημοτική Ενότητα Παραλίας Αχαΐας","Paralia Municipal Unit","Q41","Greece","7666","['26333']","(38.18333333, 21.7)"
"Q1154480","Δήμος Φαρρών","Farres municipality","Q41","Greece","","['250\xa008']","(38.1, 21.78333333)"
"Q1154491","Δημοτική Ενότητα Ιθώμης Μεσσηνίας","Ithomi Municipal Unit","Q41","Greece","2302","['24002']","(37.15, 21.96666667)"
"Q1228514","Κάστρο Θάσου","Kastro","Q41","Greece","9","['640\xa002']","(40.67, 24.655)"
"Q1232203","Διακοπτό","Diakopto","Q41","Greece","2183","['250\xa003']","(38.19138889, 22.19805556)"
"Q1235010","Αλίαρτος","Aliartos","Q41","Greece","4402","['320\xa001']","(38.36666667, 23.1)"
"Q1238913","Δήμος Βουκολιών","Voukolies","Q41","Greece","","['730\xa002']","(35.46694444, 23.80055556)"
"Q1240074","Ιτέα Φωκίδας","Itea","Q41","Greece","4362","['332\xa000']","(38.4329, 22.4261)"
