,Name,Latitude,Longitude
0,ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ ΑΘΗΝΑ,37.9949649,23.7342919
1,ΚΟΛΩΝΟΣ,37.9872999,23.7115145
2,ΣΕΠΟΛΙΑ,38.0114824,23.7150906
3,ΑΘΗΝΑ ΒΟΤΑΝΙΚΟΣ,37.9848474,23.7074422
4,ΠΛΑΚΑ ΘΗΣΕΙΟ,37.9691227,23.7351664
5,ΠΛΑΚΑ ΘΗΣΕΙΟ,37.969074,23.7351476
6,ΠΛΑΚΑ ΘΗΣΕΙΟ,37.9691014,23.7345985
7,ΠΛΑΚΑ ΘΗΣΕΙΟ,37.9690922,23.7347817
8,ΠΛΑΚΑ ΘΗΣΕΙΟ,37.969083,23.734966
9,ΠΛΑΚΑ ΘΗΣΕΙΟ,37.969493,23.7348032
10,ΠΛΑΚΑ ΘΗΣΕΙΟ,37.9695028,23.734611
11,ΕΥΑΓΓΕΛΙΣΜΟΣ,37.9786586,23.7480641
12,ΚΥΠΡΙΑΔΟΥ ΑΘΗΝΑ,38.0180998,23.7388239
13,ΓΚΥΖΗ,37.9865976,23.753385
14,ΓΚΥΖΗ,37.986343,23.7530863
15,ΓΚΥΖΗ,38.0060419,23.7576253
16,ΕΛΛΗΝΟΡΡΩΣΩΝ,37.999971,23.7746358
17,ΕΛΛΗΝΟΡΡΩΣΩΝ,37.9996402,23.7749979
18,ΕΛΛΗΝΟΡΡΩΣΩΝ,37.9911063,23.7809947
19,ΕΛΛΗΝΟΡΡΩΣΩΝ,37.9909781,23.7793132
20,ΜΙΧΑΛΑΚΟΠΟΥΛΟΥ,37.9839705,23.7557248
21,ΠΕΤΡΑΛΩΝΑ ΚΑΤΩ,37.9725644,23.7054999
22,ΒΟΤΑΝΙΚΟΣ,37.9847713,23.707628
23,,37.9991439,23.6784516
24,ΠΕΡΙΣΤΕΡΙ,38.0188098,23.6868513
25,ΑΙΓΑΛΕΩ ΑΝΑΓΕΝΝΗΣΗ,38.0012617,23.6742352
26,ΑΓΙΑ ΒΑΡΒΑΡΑ,37.9910572,23.6635611
27,ΧΑΙΔΑΡΙ,38.0003803,23.6593827
28,ΧΑΙΔΑΡΙ,38.0005027,23.6595825
29,ΧΑΙΔΑΡΙ,38.0005227,23.6597728
30,ΧΑΙΔΑΡΙ ΔΑΣΟΣ,38.0112222,23.6434369
31,ΧΑΙΔΑΡΙ ΔΑΣΟΣ,38.0113801,23.6429705
32,ΝΕΑ ΛΙΟΣΙΑ ΠΑΛΑΤΙΑΝΗ,38.0311426,23.6957622
33,ΝΕΑ ΛΙΟΣΙΑ ΠΑΛΑΤΙΑΝΗ,38.0310853,23.6955436
34,ΠΕΤΡΟΥΠΟΛΗ,38.0472223,23.6876165
35,ΠΕΤΡΟΥΠΟΛΗ,38.0468922,23.6876615
36,ΠΕΤΡΟΥΠΟΛΗ,38.0462246,23.6874076
37,ΠΕΤΡΟΥΠΟΛΗ,38.0471717,23.6625945
38,ΠΕΤΡΟΥΠΟΛΗ,38.0471643,23.6627923
39,ΠΕΤΡΟΥΠΟΛΗ,38.0467623,23.6876331
40,ΠΕΤΡΟΥΠΟΛΗ,38.0466139,23.687603
41,ΠΕΤΡΟΥΠΟΛΗ,38.0464851,23.6875783
42,ΑΓΙΑ ΑΝΑΡΓΥΡΟΙ,38.0258336,23.7183062
43,ΑΓΙΑ ΑΝΑΡΓΥΡΟΙ,38.0298218,23.7203344
44,ΑΓΙΑ ΑΝΑΡΓΥΡΟΙ,38.0411751,23.7276597
45,ΑΓΙΑ ΑΝΑΡΓΥΡΟΙ,38.0440156,23.7295249
46,ΝΕΑ ΙΩΝΙΑ ΙΩΝΙΑ,38.0467325,23.7476584
47,ΝΕΑ ΙΩΝΙΑ ΙΩΝΙΑ,38.0363661,23.7502203
48,ΝΕΟΚΤΙΣΤΑ ΝΕΑΠΟΛΕΩΣ,38.0276608,23.7648339
49,ΝΕΟΚΤΙΣΤΑ ΝΕΑΠΟΛΕΩΣ,38.0299,23.7637579
50,ΝΕΟΚΤΙΣΤΑ ΝΕΑΠΟΛΕΩΣ,38.0277732,23.7646833
51,ΝΕΟΚΤΙΣΤΑ ΝΕΑΠΟΛΕΩΣ,38.0277599,23.7640945
52,ΝΕΟΚΤΙΣΤΑ ΝΕΑΠΟΛΕΩΣ,38.0276482,23.7642443
53,ΝΕΟΚΤΙΣΤΑ ΝΕΑΠΟΛΕΩΣ,38.0275346,23.7643965
54,ΝΕΟΚΤΙΣΤΑ ΝΕΑΠΟΛΕΩΣ,38.0274223,23.7645471
