,id,postal_code,territory,latitude,longitude,municipality,population
0,0,10434,ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ ΑΘΗΝΑ,37.9949649,23.7342919,Athens,643449.0
1,1,10441,ΚΟΛΩΝΟΣ,37.9872999,23.7115145,Athens,643449.0
2,2,10443,ΣΕΠΟΛΙΑ,38.0114824,23.7150906,Athens,643449.0
3,3,10447,ΑΘΗΝΑ ΒΟΤΑΝΙΚΟΣ,37.9848474,23.7074422,Athens,643449.0
4,4,10558,ΠΛΑΚΑ ΘΗΣΕΙΟ,37.9691227,23.7351664,Athens,643449.0
5,5,10558,ΠΛΑΚΑ ΘΗΣΕΙΟ,37.969074,23.7351476,Athens,643449.0
6,6,10558,ΠΛΑΚΑ ΘΗΣΕΙΟ,37.9691014,23.7345985,Athens,643449.0
7,7,10558,ΠΛΑΚΑ ΘΗΣΕΙΟ,37.9690922,23.7347817,Athens,643449.0
8,8,10558,ΠΛΑΚΑ ΘΗΣΕΙΟ,37.969083,23.734966,Athens,643449.0
9,9,10558,ΠΛΑΚΑ ΘΗΣΕΙΟ,37.969493,23.7348032,Athens,643449.0
10,10,10558,ΠΛΑΚΑ ΘΗΣΕΙΟ,37.9695028,23.734611,Athens,643449.0
11,11,10676,ΕΥΑΓΓΕΛΙΣΜΟΣ,37.9786586,23.7480641,Athens,643449.0
12,12,11141,ΚΥΠΡΙΑΔΟΥ ΑΘΗΝΑ,38.0180998,23.7388239,Athens,643449.0
13,13,11475,ΓΚΥΖΗ,37.9865976,23.753385,Athens,643449.0
14,14,11475,ΓΚΥΖΗ,37.986343,23.7530863,Athens,643449.0
15,15,11476,ΓΚΥΖΗ,38.0060419,23.7576253,Athens,643449.0
16,16,11525,ΕΛΛΗΝΟΡΡΩΣΩΝ,37.999971,23.7746358,Athens,643449.0
17,17,11525,ΕΛΛΗΝΟΡΡΩΣΩΝ,37.9996402,23.7749979,Athens,643449.0
18,18,11525,ΕΛΛΗΝΟΡΡΩΣΩΝ,37.9911063,23.7809947,Athens,643449.0
19,19,11525,ΕΛΛΗΝΟΡΡΩΣΩΝ,37.9909781,23.7793132,Athens,643449.0
20,20,11528,ΜΙΧΑΛΑΚΟΠΟΥΛΟΥ,37.9839705,23.7557248,Athens,643449.0
21,21,11853,ΠΕΤΡΑΛΩΝΑ ΚΑΤΩ,37.9725644,23.7054999,Athens,643449.0
22,22,11855,ΒΟΤΑΝΙΚΟΣ,37.9847713,23.707628,Athens,643449.0
23,23,12043,,37.9991439,23.6784516,,
24,24,12135,ΠΕΡΙΣΤΕΡΙ,38.0188098,23.6868513,Peristeri,133632.0
25,25,12243,ΑΙΓΑΛΕΩ ΑΝΑΓΕΝΝΗΣΗ,38.0012617,23.6742352,Egaleo,65831.0
