id,postal_code,territory,latitude,longitude
0,10434,ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ ΑΘΗΝΑ,37.9949649,23.7342919
1,10441,ΚΟΛΩΝΟΣ,37.9872999,23.7115145
2,10443,ΣΕΠΟΛΙΑ,38.0114824,23.7150906
3,10447,ΑΘΗΝΑ ΒΟΤΑΝΙΚΟΣ,37.9848474,23.7074422
4,10558,ΠΛΑΚΑ ΘΗΣΕΙΟ,37.9691227,23.7351664
5,10558,ΠΛΑΚΑ ΘΗΣΕΙΟ,37.969074,23.7351476
6,10558,ΠΛΑΚΑ ΘΗΣΕΙΟ,37.9691014,23.7345985
7,10558,ΠΛΑΚΑ ΘΗΣΕΙΟ,37.9690922,23.7347817
8,10558,ΠΛΑΚΑ ΘΗΣΕΙΟ,37.969083,23.734966
9,10558,ΠΛΑΚΑ ΘΗΣΕΙΟ,37.969493,23.7348032
10,10558,ΠΛΑΚΑ ΘΗΣΕΙΟ,37.9695028,23.734611
11,10676,ΕΥΑΓΓΕΛΙΣΜΟΣ,37.9786586,23.7480641
12,11141,ΚΥΠΡΙΑΔΟΥ ΑΘΗΝΑ,38.0180998,23.7388239
13,11475,ΓΚΥΖΗ,37.9865976,23.753385
14,11475,ΓΚΥΖΗ,37.986343,23.7530863
15,11476,ΓΚΥΖΗ,38.0060419,23.7576253
16,11525,ΕΛΛΗΝΟΡΡΩΣΩΝ,37.999971,23.7746358
17,11525,ΕΛΛΗΝΟΡΡΩΣΩΝ,37.9996402,23.7749979
18,11525,ΕΛΛΗΝΟΡΡΩΣΩΝ,37.9911063,23.7809947
19,11525,ΕΛΛΗΝΟΡΡΩΣΩΝ,37.9909781,23.7793132
20,11528,ΜΙΧΑΛΑΚΟΠΟΥΛΟΥ,37.9839705,23.7557248
21,11853,ΠΕΤΡΑΛΩΝΑ ΚΑΤΩ,37.9725644,23.7054999
22,11855,ΒΟΤΑΝΙΚΟΣ,37.9847713,23.707628
23,12043,,37.9991439,23.6784516
24,12135,ΠΕΡΙΣΤΕΡΙ,38.0188098,23.6868513
25,12243,ΑΙΓΑΛΕΩ ΑΝΑΓΕΝΝΗΣΗ,38.0012617,23.6742352
26,12351,ΑΓΙΑ ΒΑΡΒΑΡΑ,37.9910572,23.6635611
27,12461,ΧΑΙΔΑΡΙ,38.0003803,23.6593827
28,12461,ΧΑΙΔΑΡΙ,38.0005027,23.6595825
29,12461,ΧΑΙΔΑΡΙ,38.0005227,23.6597728
30,12462,ΧΑΙΔΑΡΙ ΔΑΣΟΣ,38.0112222,23.6434369
31,12462,ΧΑΙΔΑΡΙ ΔΑΣΟΣ,38.0113801,23.6429705
32,13121,ΝΕΑ ΛΙΟΣΙΑ ΠΑΛΑΤΙΑΝΗ,38.0311426,23.6957622
33,13121,ΝΕΑ ΛΙΟΣΙΑ ΠΑΛΑΤΙΑΝΗ,38.0310853,23.6955436
34,13232,ΠΕΤΡΟΥΠΟΛΗ,38.0472223,23.6876165
35,13232,ΠΕΤΡΟΥΠΟΛΗ,38.0468922,23.6876615
36,13232,ΠΕΤΡΟΥΠΟΛΗ,38.0462246,23.6874076
37,13232,ΠΕΤΡΟΥΠΟΛΗ,38.0471717,23.6625945
38,13232,ΠΕΤΡΟΥΠΟΛΗ,38.0471643,23.6627923
39,13232,ΠΕΤΡΟΥΠΟΛΗ,38.0467623,23.6876331
40,13232,ΠΕΤΡΟΥΠΟΛΗ,38.0466139,23.687603
41,13232,ΠΕΤΡΟΥΠΟΛΗ,38.0464851,23.6875783
42,13561,ΑΓΙΑ ΑΝΑΡΓΥΡΟΙ,38.0258336,23.7183062
43,13561,ΑΓΙΑ ΑΝΑΡΓΥΡΟΙ,38.0298218,23.7203344
44,13562,ΑΓΙΑ ΑΝΑΡΓΥΡΟΙ,38.0411751,23.7276597
45,13562,ΑΓΙΑ ΑΝΑΡΓΥΡΟΙ,38.0440156,23.7295249
46,14231,ΝΕΑ ΙΩΝΙΑ ΙΩΝΙΑ,38.0467325,23.7476584
47,14231,ΝΕΑ ΙΩΝΙΑ ΙΩΝΙΑ,38.0363661,23.7502203
48,14233,ΝΕΟΚΤΙΣΤΑ ΝΕΑΠΟΛΕΩΣ,38.0276608,23.7648339
49,14233,ΝΕΟΚΤΙΣΤΑ ΝΕΑΠΟΛΕΩΣ,38.0299,23.7637579
50,14233,ΝΕΟΚΤΙΣΤΑ ΝΕΑΠΟΛΕΩΣ,38.0277732,23.7646833
51,14233,ΝΕΟΚΤΙΣΤΑ ΝΕΑΠΟΛΕΩΣ,38.0277599,23.7640945
52,14233,ΝΕΟΚΤΙΣΤΑ ΝΕΑΠΟΛΕΩΣ,38.0276482,23.7642443
53,14233,ΝΕΟΚΤΙΣΤΑ ΝΕΑΠΟΛΕΩΣ,38.0275346,23.7643965
54,14233,ΝΕΟΚΤΙΣΤΑ ΝΕΑΠΟΛΕΩΣ,38.0274223,23.7645471
55,14233,ΝΕΟΚΤΙΣΤΑ ΝΕΑΠΟΛΕΩΣ,38.0279319,23.7644113
56,14262,,38.018621,23.6553226
57,14262,,38.0185007,23.6538147
58,14262,,38.0192078,23.6556991
59,14342,ΝΕΑ ΦΙΛΑΔΕΛΦΕΙΑ,38.047335,23.7434311
60,14342,ΝΕΑ ΦΙΛΑΔΕΛΦΕΙΑ,38.0482912,23.7442939
61,14342,ΝΕΑ ΦΙΛΑΔΕΛΦΕΙΑ,38.0479758,23.7440746
62,14342,ΝΕΑ ΦΙΛΑΔΕΛΦΕΙΑ,38.0477458,23.7438295
63,15001,,38.0027551,23.830241
64,15001,,38.0054929,23.834432
65,15001,,38.0055078,23.8345989
66,15001,,38.0055376,23.8349307
67,15001,,38.0028502,23.8301516
68,15001,,38.0055227,23.8347653
69,15001,,38.0100094,23.8364594
70,15001,,38.0087275,23.8344098
71,15001,,38.0089765,23.8345116
72,15001,,38.0090715,23.8345504
73,15001,,38.0088622,23.8344649
74,15123,ΜΑΡΟΥΣΙ ΝΕΑ ΦΙΛΟΘΕΗ,38.0401378,23.7921846
75,15123,ΜΑΡΟΥΣΙ ΝΕΑ ΦΙΛΟΘΕΗ,38.0401296,23.7921849
76,15123,ΜΑΡΟΥΣΙ ΝΕΑ ΦΙΛΟΘΕΗ,38.0401475,23.7899686
77,15123,ΜΑΡΟΥΣΙ ΝΕΑ ΦΙΛΟΘΕΗ,38.0393181,23.7910841
78,15123,ΜΑΡΟΥΣΙ ΝΕΑ ΦΙΛΟΘΕΗ,38.0406759,23.7899798
79,15123,ΜΑΡΟΥΣΙ ΝΕΑ ΦΙΛΟΘΕΗ,38.0410822,23.78986
80,15123,ΜΑΡΟΥΣΙ ΝΕΑ ΦΙΛΟΘΕΗ,38.0408006,23.7906751
81,15123,ΜΑΡΟΥΣΙ ΝΕΑ ΦΙΛΟΘΕΗ,38.0407482,23.7903555
82,15123,ΜΑΡΟΥΣΙ ΝΕΑ ΦΙΛΟΘΕΗ,38.040998,23.7893883
83,15123,ΜΑΡΟΥΣΙ ΝΕΑ ΦΙΛΟΘΕΗ,38.040283,23.7904794
84,15123,ΜΑΡΟΥΣΙ ΝΕΑ ΦΙΛΟΘΕΗ,38.0409656,23.7891964
85,15123,ΜΑΡΟΥΣΙ ΝΕΑ ΦΙΛΟΘΕΗ,38.0414105,23.7895638
86,15123,ΜΑΡΟΥΣΙ ΝΕΑ ΦΙΛΟΘΕΗ,38.0406219,23.7896631
87,15123,ΜΑΡΟΥΣΙ ΝΕΑ ΦΙΛΟΘΕΗ,38.0403426,23.7907955
88,15123,ΜΑΡΟΥΣΙ ΝΕΑ ΦΙΛΟΘΕΗ,38.0403939,23.7911197
89,15123,ΜΑΡΟΥΣΙ ΝΕΑ ΦΙΛΟΘΕΗ,38.0414428,23.7897558
90,15123,ΜΑΡΟΥΣΙ ΝΕΑ ΦΙΛΟΘΕΗ,38.0410498,23.789668
91,15125,ΜΑΡΟΥΣΙ ΠΑΡΑΔΕΙΣΟΣ,38.038277,23.8107909
92,15125,ΜΑΡΟΥΣΙ ΠΑΡΑΔΕΙΣΟΣ,38.0345397,23.8020857
93,15126,ΜΑΡΟΥΣΙ ΝΕΑ ΛΕΣΒΟΣ,38.0416269,23.8221187
94,15126,ΜΑΡΟΥΣΙ ΝΕΑ ΛΕΣΒΟΣ,38.0455803,23.825623
95,15126,ΜΑΡΟΥΣΙ ΝΕΑ ΛΕΣΒΟΣ,38.0457128,23.8252563
96,15126,ΜΑΡΟΥΣΙ ΝΕΑ ΛΕΣΒΟΣ,38.0457965,23.8250578
97,15126,ΜΑΡΟΥΣΙ ΝΕΑ ΛΕΣΒΟΣ,38.041595,23.8225379
98,15126,ΜΑΡΟΥΣΙ ΝΕΑ ΛΕΣΒΟΣ,38.0456406,23.8254252
99,15126,ΜΑΡΟΥΣΙ ΝΕΑ ΛΕΣΒΟΣ,38.0458704,23.8248884
