,municipality,num_courts,population,court_population_index
26,Peristeri,1,133632.0,0.0748323754789272
8,Egaleo,1,65831.0,0.15190411812064225
15,Kallithea,2,97617.0,0.20488234631262997
22,Nikaia-Agios Ioannis Rentis,3,103490.0,0.2898830804908687
20,Nea Ionia,2,64613.0,0.3095352328478789
5,Athens,23,643449.0,0.3574486866869014
1,Agia Varvara,1,26758.0,0.3737200089692802
3,Agios Dimitrios,3,71664.0,0.4186202277294039
19,Moschato-Tavros,2,39658.0,0.5043118664582178
29,Vyronas,3,59135.0,0.5073137735689525
16,Keratsini-Drapetsona,5,89537.0,0.5584283592257949
2,Agii Anargyri - Kamatero,4,61461.0,0.650819218691528
21,Nea Smyrni,5,72851.0,0.6863323770435548
28,Piraeus,12,168152.0,0.7136400399638423
17,Kessariani,2,26268.0,0.7613826709304096
6,Chaidari,5,47049.0,1.062721843184765
12,Glyfada,10,89600.0,1.1160714285714286
10,Filadelfeia-Chalkidona,4,34961.0,1.1441320328365894
13,Ilion,10,84004.0,1.1904195038331509
27,Petroupoli,8,60146.0,1.3300967645396202
9,Elliniko-Argyroupoli,7,50027.0,1.3992444080196693
25,Penteli,6,35613.0,1.6847780304944824
14,Ilioupoli,14,76732.0,1.8245321378303707
23,Palaio Faliro,12,64862.0,1.8500817119422774
7,Chalandri,16,77100.0,2.0752269779507135
0,Agia Paraskevi,14,62147.0,2.2527233816596133
30,Zografos,18,69872.0,2.5761392260132814
24,Papagou-Cholargos,12,45264.0,2.651113467656416
4,Alimos,12,43174.0,2.7794505952656694
18,Marousi,27,71830.0,3.7588751218153975
11,Filothei-Psychiko,27,27635.0,9.770218925275918
